Participant Number,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Overall Score
1,10,0,10,30,10,0,10.0
2,10,0,10,30,10,5,10.833333333333334
3,10,0,30,30,10,0,13.333333333333334
4,65,0,10,20,80,80,42.5
5,25,0,0,60,65,10,26.666666666666668
6,35,0,5,65,40,15,26.666666666666668
7,40,0,10,70,35,35,31.666666666666668
8,10,0,10,95,10,5,21.666666666666668
9,5,0,5,99,5,3,19.5
10,74,0,80,70,80,85,64.83333333333333
11,60,0,60,75,60,70,54.166666666666664
12,60,0,50,80,50,40,46.666666666666664
